Country,cat,dog
Australia,0.2,0.61
United States,0.22,0.63
Canada,0.26,0.59
United Kingdom,0.25,0.57
New Zealand,0.28,0.52
Ireland,0.15,0.66
Singapore,0.28,0.5
Philippines,0.32,0.5
South Africa,0.22,0.52
India,0.18,0.64
Sri Lanka,0.21,0.49
Nepal,0.18,0.61
United Arab Emirates,0.35,0.41
Malaysia,0.41,0.39
Hong Kong,0.33,0.53
Pakistan,0.44,0.38
Nigeria,0.2,0.64
Bangladesh,0.39,0.37
Sweden,0.45,0.42
Thailand,0.33,0.5
Indonesia,0.41,0.37
Netherlands,0.42,0.44
Saudi Arabia,0.47,0.3
Italy,0.27,0.62
Vietnam,0.38,0.47
Mexico,0.28,0.57
Germany,0.32,0.56
Spain,0.31,0.56
France,0.31,0.57
TÃ¼rkiye,0.47,0.4
Russia,0.4,0.47
Japan,0.27,0.55
